Manufacturer,Airbus,Airbus,Airbus,Airbus,Airbus,Airbus,Airbus,Airbus,Airbus,Airbus,Airbus,Airbus,Boeing,Boeing,Boeing,Boeing,Boeing,Boeing,Boeing,Boeing,Boeing,Embraer,Embraer,Embraer,Embraer,Embraer,Embraer,Embraer,Bombardier,Bombardier,Bombardier,Bombardier,Sukhoi,Tupolev,ATR,ATR,Cessna,Cessna
Type,A318,A319,A320,A321,A330,A330,A330,A330,A350,A350,A380,A340,737,737,737,747,777,777,787,787,787,ERJ135,ERJ140,ERJ145,E170,E175,E190,E195,CS100,CS300,CRJ700,CRJ900,Superjet-100,Tu-204,Turboprop,Turboprop,Turboprop,Turbojet
Model,100,neo,neo,neo,200,300,800neo,900neo,900,1000,800,300,700,800,900ER,8,200LR,300ER,8,9,10,LR,LR,LR,LR,LR,LR,LR,0,0,ER,ER,SSJ-100-95,100,AT42-300,AT72-212,C208,Citation
Initial_service_date,2003,1996,2016,2017,1994,1994,2018,2018,2015,2016,2007,1993,1997,1998,2007,201,2006,2004,2011,2014,2018,1997,1997,1997,2004,2004,2004,2004,2016,2016,2001,2003,,1995,1984,1988,1984,2005
Engine_Nb,2,2,2,2,2,2,2,2,2,2,4,4,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
Seating_typical,107,140,165,206,247,277,257,287,325,366,575,277,126,162,178,410,317,396,242,290,330,37,44,50,66,76,96,100,116,141,66,76,87,172,48,70,9,4
Seating_1class_max,132,160,189,240,406,440,406,440,440,440,853,440,149,189,220,605,440,550,381,420,440,72,81,87,78,96,114,124,135,160,78,90,108,210,48,70,9,5
Abreast_Nb,6,6,6,6,8,8,8,8,9,9,18,8,6,6,6,12,10,10,9,9,9,3,3,3,4,4,4,4,5,5,4,4,5,6,1,1,0,0
MTOM,68000,75500,79000,97000,242000,242000,251900,251000,280000,308000,575000,276500,70000,79000,85200,447700,347452,351533,227900,254000,254000,20000,21100,22000,38600,40370,51800,52290,60800,67600,34019,38330,45880,105000,16900,23000,3629,3921
OEM,39500,42600,44300,50100,120600,129400,132000,137000,142400,158800,277000,131000,37648,41413,44677,220128,145150,167829,119950,128800,135500,11501,11808,12114,21140,21890,27837,28667,35221,37081,20069,21845,24250,25200,10285,13500,2145,2540
Fuel_max_litres,24210,26750,26730,32940,139090,139090,139090,139090,141000,159000,253983,138000,26022,26022,29666,238610,181283,181283,126206,126372,126372,6396,6397,6398,11840,11840,16250,16250,21918,21918,8888,8889,15805,28560,4500,5000,1009,1438
Maximum_Payload_kg,13300,17700,20000,25500,49400,45600,42630,46200,53300,64200,84000,52000,17880,22680,26400,76067,52800,66000,41075,52637,57277,4499,5292,5786,9759,10110,13063,13933,15127,18711,8190,10247,12245,58300,5040,7500,945,540
Fus_Length_m,31.44,33.84,37.57,44.51,58.82,63.67,58.82,63.66,66.8,73.78,72.72,63.69,33.6,39.5,42.1,76.4,63.7,73.86,56.7,62.8,68.3,26.33,28.45,29.87,29.9,31.68,36.24,38.65,35,38.7,32.3,36.2,29.94,46.14,22.67,27,11.46,12.37
Fus_Width_m,3.95,3.95,3.95,3.95,5.64,5.64,5.64,5.64,5.96,5.96,7.14,5.64,3.77,3.77,3.77,6.5,6.2,6.2,5.77,5.77,5.77,2.28,2.28,2.28,3.01,3.01,3.01,3.01,3.7,3.7,2.7,2.7,3.35,3.8,2.8,2.57,1.73,1.49
Cabin_Width_m,3.7,3.7,3.7,3.7,5.26,5.26,5.26,5.26,5.61,5.61,6.5,5.29,3.54,3.54,3.54,6.1,5.86,5.86,5.49,5.49,5.49,2.14,2.14,2.14,2.74,2.74,2.74,2.74,3.28,3.28,2.55,2.55,3.24,3.57,2.63,2.42,1.63,1.4
Wing_Area_m2,122.6,122.4,122.4,122.4,361.6,361.6,395,395,443,443,845,363.1,125,125,125,554,436.8,436.8,360,360.5,360.5,51.2,51.2,51.2,72.72,72.72,92.53,92.53,112.3,112.3,70.6,71.1,77,184.2,54.5,61,25.9,19.5
Wing_Span_m,34.1,35.8,35.8,35.8,60.3,60.3,64,64,64.75,64.75,79.75,60.3,34.3,34.3,34.3,68.5,64.8,64.8,60,60,60,20.04,21.04,22.04,26,26,28.72,28.72,35.1,35.1,23.2,24.9,27.8,41.8,24.57,27,15.88,13.16
Wing_AR,10.3,10.3,10.3,10,10.06,11.06,8.8,9.8,9.49,9.03,7.53,10,9.44,9.44,9.44,8.45,9.04,9.04,9.59,9.59,9.59,7.84,8.65,9.49,9.3,9.3,8.91,8.91,10.97,10.97,7.62,8.72,10.04,9.49,11.08,12,9.7,8.88
Max_Mach_Op_speed,0.82,0.82,0.82,0.82,0.86,0.86,0.86,0.86,0.89,0.89,0.89,0.86,0.78,0.78,0.79,0.9,0.89,0.89,0.9,0.9,0.9,0.8,0.8,0.8,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.825,0.81,0.85,0.42,0.43,0.29,0.63
Cruise_Mach_Speed,0.78,0.78,0.78,0.78,0.82,0.82,0.82,0.82,0.85,0.85,0.85,0.82,0.82,0.82,0.82,0.86,0.84,0.84,0.85,0.85,0.85,0.78,0.78,0.78,0.75,0.75,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.8,0.42,0.43,0.29,0.54
Altitude_Max_Operating_m,11900,11900,11900,11900,12500,12500,12634,12635,13100,13100,13100,12500,12500,12500,12500,13100,13100,13100,13100,13100,13100,11278,11278,11278,12000,12000,12000,12000,12500,12500,12500,12500,12500,12100,7600,7601,7600,12500
Range_km,6000,6950,6850,7400,13450,11750,15094,13334,15000,15557,15000,14100,5570,5436,5460,14816,15843,13649,13600,14100,11900,3240,3000,2780,3982,4074,4537,4260,5460,5920,2553,2876,3048,4300,850,1528,1982,2161
Relative_PayloadN_PAX,132,160,189,240,247,277,257,287,325,366,575,440,126,162,178,410,317,396,242,290,330,72,81,87,78,96,114,124,116,141,78,90,108,210,48,70,0,0
Winglet,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,no
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A320family: https://www.airbus.com/content/dam/corporate-topics/publications/backgrounders/Airbus-Family-Figures-booklet.pdf, https://www.easa.europa.eu/documents/type-certificates/aircraft-cs-25-cs-22-cs-23-cs-vla-cs-lsa/easaa064,                                                                                                                                                                      https://www.airlines-inform.com/commercial-aircraft/Airbus-A318.html, https://www.airbus.com/content/dam/corporate-topics/publications/backgrounders/techdata/aircraft_characteristics/Airbus-Commercial-Aircraft-AC-A319-Feb18.pdf https://www.airbus.com/content/dam/corporate-topics/publications/backgrounders/techdata/aircraft_characteristics/Airbus-Commercial-Aircraft-AC-A320-Feb18.pdf https://www.airbus.com/content/dam/corporate-topics/publications/backgrounders/techdata/aircraft_characteristics/Airbus-Commercial-Aircraft-AC-A321Feb18.pdf                                                                                           A330family: ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
