"Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      
           0,      -3.225263162,      -3.010194162,      -3.557556436,      -3.498972629,      -1.779360788,              61.2,      0.3190705609,    0.005469081859,    0.001092945707,   -0.002082056859,      0.1305522424,     0.00788097178,      0.3190705609,    0.001092945707,    0.005469081859,     0.01714066583
           1,      -3.007700362,      -2.990473495,      -3.062827188,      -3.031660273,      -1.552867115,              61.2,      0.5606275567,     0.01846208514,     0.00182478922,   -0.002750730723,      0.1978043544,     0.01201658703,      0.5606275567,     0.00182478922,     0.01846208514,     0.03293110536
           2,      -3.103681287,       -2.90127595,      -2.824991719,      -2.795595658,      -1.646165191,              61.2,      0.7220038546,     0.03459010007,    0.001490949683,   -0.001582925104,       0.205403414,     0.01016483964,      0.7220038546,    0.001490949683,     0.03459010007,     0.04790847008
           3,      -3.228841941,      -2.834634379,      -2.732710588,      -2.702081616,      -1.770494703,              61.2,      0.7912951767,     0.05313169688,   0.0001796998604,    0.001183907439,      0.1596711044,    0.003025143335,      0.7912951767,   0.0001796998604,     0.05313169688,     0.06714523031
           4,      -3.277673349,      -2.810312883,      -2.713572768,      -2.681125521,      -1.823985545,              61.2,      0.7734811533,     0.07300500412,    -0.00172303035,    0.004869999325,      0.0730107221,   -0.007290307017,      0.7734811533,    -0.00172303035,     0.07300500412,     0.09438498121
           5,      -3.213814769,      -2.808806446,      -2.731038702,       -2.69657115,      -1.763250579,              61.2,      0.6867107833,     0.09304256839,   -0.003678058297,    0.008572242283,    -0.03969000817,    -0.01794411168,      0.6867107833,   -0.003678058297,     0.09304256839,      0.1354901811
           6,      -3.143582239,      -2.799317165,      -2.745874865,      -2.709110158,      -1.692639268,              61.2,      0.5565491785,      0.1121695234,   -0.005157441948,      0.0113886077,     -0.1633295311,    -0.02616676976,      0.5565491785,   -0.005157441948,      0.1121695234,      0.2015446751
           7,      -3.101420532,      -2.758592117,      -2.722020265,      -2.680615977,      -1.649241801,              61.2,      0.4097442806,      0.1294852196,   -0.005783970035,     0.01262145292,     -0.2840878041,    -0.02986488735,      0.4097442806,   -0.005783970035,      0.1294852196,       0.316014709
           8,       -3.07054819,      -2.686656714,       -2.65766674,      -2.606724513,      -1.616680664,              61.2,      0.2690617478,      0.1443345331,   -0.005414554721,     0.01191803858,     -0.3908857277,      -0.028079747,      0.2690617478,   -0.005414554721,      0.1443345331,      0.5364364658
           9,      -3.024412696,       -2.59289446,      -2.571711403,      -2.507297079,      -1.568574953,              61.2,      0.1501420741,      0.1563611431,   -0.004143631284,    0.009320999237,     -0.4765891589,    -0.02108304851,      0.1501420741,   -0.004143631284,      0.1563611431,       1.041421227
          10,      -2.952739905,      -2.484527143,      -2.475368533,      -2.396992093,      -1.495520747,              61.2,     0.06065260501,      0.1654840695,   -0.002261729152,    0.005232203643,      -0.538464768,    -0.01020167904,     0.06065260501,   -0.002261729152,      0.1654840695,       2.728391789
          11,      -2.866479447,      -2.370304429,      -2.374583361,      -2.284812347,      -1.409009647,              61.2,    0.001273846585,      0.1718442286,  -0.0001630817217,   0.0002988813728,       -0.57784862,     0.00259977253,    0.001273846585,  -0.0001630817217,      0.1718442286,       134.9018247
          12,      -2.779500356,      -2.259917145,      -2.275829227,      -2.178234712,      -1.322830686,              61.2,    -0.03227485169,        0.17572334,    0.001755688265,   -0.004745751076,     -0.5990958072,      0.0152052104,    -0.03227485169,    0.001755688265,        0.17572334,      -5.444590161
          13,      -2.699369558,      -2.160304297,      -2.185091635,      -2.082731629,      -1.244416929,              61.2,    -0.04693709013,      0.1774892814,     0.00318544963,   -0.009237538628,     -0.6082418674,     0.02580388773,    -0.04693709013,     0.00318544963,      0.1774892814,      -3.781429162
          14,      -2.629310509,      -2.074986006,      -2.106291706,      -2.001401346,       -1.17694589,              61.2,    -0.05024829485,      0.1775694968,    0.003969125994,    -0.01270127238,     -0.6117124433,     0.03320240603,    -0.05024829485,    0.003969125994,      0.1775694968,      -3.533841244
          15,      -2.570792411,      -2.005327865,      -2.041469169,      -1.935667572,      -1.121848194,              61.2,    -0.04877178484,      0.1764312108,    0.004115119655,    -0.01490645867,     -0.6152990634,     0.03694947562,    -0.04877178484,    0.004115119655,      0.1764312108,      -3.617485219
          16,      -2.524473666,      -1.951725077,      -1.991596929,      -1.886101678,      -1.079701447,              61.2,    -0.04718916752,      0.1745606212,     0.00377231311,    -0.01587065144,     -0.6235159753,     0.03728942828,    -0.04718916752,     0.00377231311,      0.1745606212,      -3.699167211
          17,       -2.49036724,      -1.914223686,      -1.957194738,      -1.852926145,      -1.050361211,              61.2,    -0.04804816037,      0.1724390345,    0.003173132336,    -0.01579778657,     -0.6393544609,     0.03498184997,    -0.04804816037,    0.003173132336,      0.1724390345,      -3.588879016
